epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.42012500762939453,9.999999747378752e-05,1.6988389492034912,0.6679999828338623,1.134622573852539
1,0.6473749876022339,9.999999747378752e-05,1.0658459663391113,0.7590000033378601,0.8372248411178589
2,0.7179999947547913,9.999999747378752e-05,0.8541635870933533,0.7850000262260437,0.7252616286277771
3,0.749625027179718,9.999999747378752e-05,0.7562358975410461,0.7879999876022339,0.6752724051475525
4,0.7672500014305115,9.999999747378752e-05,0.7015166282653809,0.8059999942779541,0.6167160868644714
5,0.7886250019073486,9.999999747378752e-05,0.6407541036605835,0.8140000104904175,0.5896129608154297
6,0.7958750128746033,9.999999747378752e-05,0.6076566576957703,0.8220000267028809,0.5467957258224487
7,0.8059999942779541,9.999999747378752e-05,0.5804768800735474,0.824999988079071,0.5421953797340393
8,0.8181250095367432,9.999999747378752e-05,0.5468740463256836,0.8389999866485596,0.5012214183807373
9,0.8201249837875366,9.999999747378752e-05,0.5333412885665894,0.8370000123977661,0.4905371367931366
10,0.8255000114440918,9.999999747378752e-05,0.5206640362739563,0.8450000286102295,0.472639799118042
11,0.8320000171661377,9.999999747378752e-05,0.49530869722366333,0.8349999785423279,0.4732009470462799
12,0.8348749876022339,9.999999747378752e-05,0.48586833477020264,0.8450000286102295,0.4571211636066437
13,0.8428750038146973,9.999999747378752e-05,0.47434210777282715,0.8410000205039978,0.4536777138710022
14,0.8428750038146973,9.999999747378752e-05,0.45703500509262085,0.843999981880188,0.4428788721561432
15,0.8486250042915344,9.999999747378752e-05,0.4450867176055908,0.8500000238418579,0.429567813873291
16,0.8557500243186951,9.999999747378752e-05,0.4402932822704315,0.8569999933242798,0.4208197593688965
17,0.8543750047683716,9.999999747378752e-05,0.435123085975647,0.8500000238418579,0.43056225776672363
18,0.8529999852180481,9.999999747378752e-05,0.42544734477996826,0.843999981880188,0.43433719873428345
19,0.8669999837875366,1.9999999494757503e-05,0.40699583292007446,0.8560000061988831,0.4236399829387665
