epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.43674999475479126,9.999999747378752e-06,1.648169755935669,0.5210000276565552,1.4637601375579834
0,0.5093749761581421,9.999999747378752e-06,1.4973018169403076,0.7590000033378601,0.777817964553833
1,0.7578750252723694,9.999999747378752e-06,0.7498554587364197,0.6869999766349792,0.907941460609436
2,0.8125,9.999999747378752e-06,0.5816224217414856,0.7129999995231628,0.835472822189331
3,0.8362500071525574,1.9999999949504854e-06,0.511679470539093,0.7609999775886536,0.7077715992927551
4,0.8442500233650208,1.9999999949504854e-06,0.4862897992134094,0.7929999828338623,0.6130214929580688
0,0.5362499952316284,9.999999747378752e-06,1.3813053369522095,0.7429999709129333,0.784971296787262
1,0.7595000267028809,9.999999747378752e-06,0.7436712384223938,0.6949999928474426,0.8904686570167542
2,0.8130000233650208,9.999999747378752e-06,0.5724442005157471,0.7300000190734863,0.8367857336997986
3,0.8388749957084656,1.9999999949504854e-06,0.5015906691551208,0.7689999938011169,0.6937090158462524
4,0.8401250243186951,1.9999999949504854e-06,0.4876128137111664,0.7950000166893005,0.60312420129776
0,0.5981249809265137,9.999999747378752e-06,1.3172783851623535,0.8130000233650208,0.5693138837814331
1,0.7851250171661377,9.999999747378752e-06,0.6531827449798584,0.7860000133514404,0.6099963784217834
2,0.8271250128746033,9.999999747378752e-06,0.5133808851242065,0.7929999828338623,0.5950027704238892
3,0.844124972820282,1.9999999949504854e-06,0.4565453827381134,0.8109999895095825,0.5303194522857666
4,0.8587499856948853,1.9999999949504854e-06,0.42979270219802856,0.8240000009536743,0.49326029419898987
5,0.8644999861717224,1.9999999949504854e-06,0.4157000780105591,0.8320000171661377,0.4670182764530182
6,0.8629999756813049,1.9999999949504854e-06,0.40614548325538635,0.8360000252723694,0.45309314131736755
7,0.8713750243186951,1.9999999949504854e-06,0.38957226276397705,0.8360000252723694,0.44237926602363586
8,0.8668749928474426,1.9999999949504854e-06,0.38686007261276245,0.843999981880188,0.43376243114471436
9,0.8737499713897705,1.9999999949504854e-06,0.3735853135585785,0.8479999899864197,0.42473605275154114
10,0.8812500238418579,1.9999999949504854e-06,0.35436129570007324,0.8510000109672546,0.41271600127220154
11,0.8833749890327454,1.9999999949504854e-06,0.33925363421440125,0.8519999980926514,0.40398019552230835
12,0.8892499804496765,1.9999999949504854e-06,0.328999787569046,0.8529999852180481,0.39456209540367126
13,0.8893749713897705,1.9999999949504854e-06,0.3204212784767151,0.8560000061988831,0.38769736886024475
14,0.8933749794960022,1.9999999949504854e-06,0.3140612840652466,0.8600000143051147,0.3823711574077606
0,0.6571249961853027,9.999999747378752e-06,1.1063671112060547,0.8240000009536743,0.5077037811279297
1,0.8168749809265137,9.999999747378752e-06,0.544389545917511,0.7760000228881836,0.6625218987464905
2,0.8488749861717224,9.999999747378752e-06,0.4418499171733856,0.781000018119812,0.6901071071624756
3,0.8643749952316284,1.9999999949504854e-06,0.3980640470981598,0.8050000071525574,0.6022408604621887
0,0.6557499766349792,9.999999747378752e-06,1.105776309967041,0.7940000295639038,0.5921050906181335
1,0.8138750195503235,9.999999747378752e-06,0.560316801071167,0.777999997138977,0.6677770614624023
2,0.8462499976158142,9.999999747378752e-06,0.4535678029060364,0.7889999747276306,0.6654149889945984
3,0.8600000143051147,1.9999999949504854e-06,0.40799710154533386,0.8149999976158142,0.5702387690544128
4,0.8629999756813049,1.9999999949504854e-06,0.3984072804450989,0.8320000171661377,0.5146951675415039
5,0.8707500100135803,1.9999999949504854e-06,0.37590935826301575,0.8420000076293945,0.4804006814956665
6,0.878125011920929,1.9999999949504854e-06,0.363077849149704,0.8479999899864197,0.4594280421733856
7,0.8832499980926514,1.9999999949504854e-06,0.3526938855648041,0.8489999771118164,0.43905919790267944
8,0.8758749961853027,1.9999999949504854e-06,0.3457495868206024,0.8489999771118164,0.4221499264240265
9,0.8820000290870667,1.9999999949504854e-06,0.3454301655292511,0.8510000109672546,0.40824979543685913
10,0.890749990940094,1.9999999949504854e-06,0.3228552043437958,0.8539999723434448,0.4072398841381073
11,0.8892499804496765,1.9999999949504854e-06,0.3167135417461395,0.8579999804496765,0.3963598906993866
12,0.8898749947547913,1.9999999949504854e-06,0.32653528451919556,0.8569999933242798,0.3898041248321533
13,0.8980000019073486,1.9999999949504854e-06,0.30236008763313293,0.8579999804496765,0.3848765790462494
14,0.9011250138282776,1.9999999949504854e-06,0.29051896929740906,0.8619999885559082,0.37743306159973145
15,0.9042500257492065,1.9999999949504854e-06,0.29143616557121277,0.8629999756813049,0.37226158380508423
16,0.9086250066757202,1.9999999949504854e-06,0.2740713953971863,0.8669999837875366,0.36586934328079224
17,0.906374990940094,1.9999999949504854e-06,0.27863848209381104,0.8709999918937683,0.3601265847682953
18,0.9072499871253967,1.9999999949504854e-06,0.27456608414649963,0.8730000257492065,0.3519030809402466
19,0.909250020980835,1.9999999949504854e-06,0.2639346718788147,0.8730000257492065,0.351982444524765
